"Freq [GHz]","Phi [deg]","Theta [deg]","db(GainPhi) []"
29,0,-116,-13.3751631115753
29,0,-114,-13.2960099396536
29,0,-112,-13.3455528938693
29,0,-110,-13.3942474282123
29,0,-108,-13.3195832741418
29,0,-106,-13.0504441054652
29,0,-104,-12.5936247692467
29,0,-102,-12.010928163863
29,0,-100,-11.3729131652457
29,0,-98,-10.7324003246361
29,0,-96,-10.1246335860825
29,0,-94,-9.57696244393538
29,0,-92,-9.11378385963762
29,0,-90,-8.75288634337317
29,0,-88,-8.49599209034708
29,0,-86,-8.31842803594625
29,0,-84,-8.16470341239411
29,0,-82,-7.96037550624003
29,0,-80,-7.64671659534507
29,0,-78,-7.22054861430728
29,0,-76,-6.74130583889889
29,0,-74,-6.29587304616664
29,0,-72,-5.95349724978808
29,0,-70,-5.73663010850482
29,0,-68,-5.60760679066574
29,0,-66,-5.4702227062687
29,0,-64,-5.20282980935942
29,0,-62,-4.73133220905925
29,0,-60,-4.08821033118699
29,0,-58,-3.38829422881727
29,0,-56,-2.75317225261541
29,0,-54,-2.26078124168141
29,0,-52,-1.93476360777011
29,0,-50,-1.75078632189475
29,0,-48,-1.64699771821782
29,0,-46,-1.54151989629767
29,0,-44,-1.36216065012302
29,0,-42,-1.078623018975
29,0,-40,-0.712860534514671
29,0,-38,-0.318343194913954
29,0,-36,0.0516210861101093
29,0,-34,0.364228391571566
29,0,-32,0.612030709705315
29,0,-30,0.80821640594666
29,0,-28,0.977432943807111
29,0,-26,1.14497781203352
29,0,-24,1.32729961511914
29,0,-22,1.52729953447539
29,0,-20,1.73606182500999
29,0,-18,1.93901455018651
29,0,-16,2.12255327202799
29,0,-14,2.27824136832349
29,0,-12,2.40395025454886
29,0,-10,2.50273458088625
29,0,-8,2.58057054104531
29,0,-6,2.64390520979528
29,0,-4,2.69768594278993
29,0,-2,2.74423662149647
29,0,0,2.78301417203113
29,0,2,2.81099853882853
29,0,4,2.82336868660012
29,0,6,2.81422455203115
29,0,8,2.77731971393391
