"d [mm]","dist [mm]","dw [mm]","Freq [GHz]","h [mm]","h_s [mm]","l [mm]","l_inset [mm]","l_s [mm]","ls [mm]","Phi [deg]","w [mm]","w_inset [mm]","w_s [mm]","Theta [deg]","db(GainPhi) []"
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,86,-8.97147973185395
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,88,-9.76210397809781
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,90,-10.5441661410199
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,92,-11.2209323120061
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,94,-11.7133073290657
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,96,-12.0126138736214
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,98,-12.1957656548961
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,100,-12.3850681609748
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,102,-12.6973408767997
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,104,-13.2195662786173
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,106,-14.0065279245364
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,108,-15.0811631099668
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,110,-16.4210701576825
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,112,-17.9175387568706
0.31872271467571,-40,0.847852902077836,27,0.3,20,2.42444930665735,1.43026031668154,20,10,0,3.13475998969076,0.344836594189614,20,114,-19.3192001040573
