"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTheta) []"
28,90,152,-2.86654789835113
28,90,154,-3.60553403231262
28,90,156,-3.22451056232234
28,90,158,-3.03445733021061
28,90,160,-4.02336429252595
28,90,162,-5.26263443116365
28,90,164,-4.99529754674965
28,90,166,-4.11698839690759
28,90,168,-4.28389057533804
28,90,170,-6.60860861622225
28,90,172,-11.8114597865641
28,90,174,-13.8356226172763
28,90,176,-5.10968838603359
28,90,178,0.221255057285273
28,90,180,2.16834696548128
29,90,-180,5.06461287774468
29,90,-178,3.1470379219708
29,90,-176,-5.32821304894907
29,90,-174,-14.2919827722241
29,90,-172,-9.93149726260377
29,90,-170,-28.5376722270857
29,90,-168,-7.93210178136207
29,90,-166,-6.54610779803654
29,90,-164,-11.0714899156483
29,90,-162,-11.387652983806
29,90,-160,-6.12939813443436
29,90,-158,-5.00902540150791
29,90,-156,-6.92718814367787
29,90,-154,-7.82723109861795
29,90,-152,-4.86757029162756
29,90,-150,-2.99380464457666
29,90,-148,-3.09327899735915
29,90,-146,-5.22517717841476
29,90,-144,-8.04378970642093
29,90,-142,-7.20342349925748
29,90,-140,-6.30865714378988
29,90,-138,-8.48356298278064
29,90,-136,-15.5167844387936
29,90,-134,-20.0894813552422
29,90,-132,-15.5927568399201
29,90,-130,-15.1442264529181
29,90,-128,-13.1486359967858
29,90,-126,-11.9244026428605
29,90,-124,-13.5996667216113
29,90,-122,-15.8334830196696
29,90,-120,-13.3279154257057
29,90,-118,-11.6605520971811
29,90,-116,-12.4919015016598
29,90,-114,-15.7972482509811
29,90,-112,-21.6227054550412
29,90,-110,-18.6153693454431
29,90,-108,-12.9665472958442
29,90,-106,-10.0262012875537
29,90,-104,-9.02622246792184
29,90,-102,-9.56427325235072
29,90,-100,-10.8201126717053
29,90,-98,-10.3761942437189
29,90,-96,-7.98524807758563
29,90,-94,-6.03078952419409
29,90,-92,-5.22862114079145
29,90,-90,-5.32789319090192
29,90,-88,-5.32743289798499
29,90,-86,-4.28415076192008
29,90,-84,-3.0870231708046
29,90,-82,-2.90892993650697
29,90,-80,-3.75542769660333
29,90,-78,-3.309104026768
29,90,-76,-0.501805802644255
29,90,-74,1.75791532057584
29,90,-72,2.44182060648824
29,90,-70,1.69970260596159
29,90,-68,0.685515989795957
29,90,-66,1.16929249487009
29,90,-64,2.10274434498114
29,90,-62,1.84040645048017
29,90,-60,0.0405776448831288
29,90,-58,-2.8449142169175
29,90,-56,-5.70519318999951
29,90,-54,-7.35760855587657
29,90,-52,-6.9988175506503
29,90,-50,-7.67537915027474
29,90,-48,-11.7588300584697
29,90,-46,-4.13001706160675
29,90,-44,1.42616051046396
29,90,-42,3.34508484867704
29,90,-40,2.69840783153669
29,90,-38,0.82311057626194
29,90,-36,0.515885129195793
29,90,-34,0.696273842077281
29,90,-32,-1.02896691506416
29,90,-30,-4.5731410973311
29,90,-28,-9.05877812072881
29,90,-26,-18.2085149845408
29,90,-24,-6.2749500391355
29,90,-22,-0.540727777291689
29,90,-20,0.568928094481335
29,90,-18,-1.05903392189215
29,90,-16,4.81218976732558
29,90,-14,9.40448112805943
29,90,-12,10.1615174710126
29,90,-10,8.4287190388487
29,90,-8,7.83458927331752
29,90,-6,5.93846502676623
29,90,-4,0.00232439484223563
29,90,-2,9.53527064495346
29,90,0,11.8397100931681
29,90,2,8.2661336892203
29,90,4,2.61941619716428
29,90,6,7.47718607887849
29,90,8,7.37508062288621
29,90,10,8.21781632155612
29,90,12,10.1477172988447
29,90,14,8.53955635133012
29,90,16,1.7120145257295
29,90,18,-2.46715170497732
29,90,20,1.00538592920881
29,90,22,-0.839254769028045
29,90,24,-6.15088942124606
29,90,26,-12.6421420704506
29,90,28,-6.11744730265531
29,90,30,-1.23845584357744
29,90,32,0.853765643299959
29,90,34,1.1024816958661
29,90,36,1.00907033702888
29,90,38,2.23794285047114
29,90,40,3.22665107372424
29,90,42,2.23503582960278
29,90,44,-1.6386890848055
29,90,46,-8.5108180788739
29,90,48,-8.59299415117474
29,90,50,-7.94627997411575
29,90,52,-8.37506888392064
29,90,54,-6.44578061159326
29,90,56,-4.47152402944669
29,90,58,-1.59466034109448
29,90,60,1.37104217193247
29,90,62,2.80644939575306
29,90,64,2.54501247987079
29,90,66,1.62082122580668
29,90,68,2.10459182503268
29,90,70,3.35362074131578
29,90,72,3.53743247184117
29,90,74,2.17700612394797
29,90,76,-0.313749970857839
29,90,78,-1.9467673488606
29,90,80,-1.64067532990971
29,90,82,-1.53927255210569
29,90,84,-2.44699223424049
29,90,86,-3.67247460074673
29,90,88,-4.15393466124637
29,90,90,-4.18065663808663
29,90,92,-4.70674212515735
29,90,94,-6.00038270528638
29,90,96,-7.52946969229737
29,90,98,-8.09813102745182
29,90,100,-7.41297036836323
29,90,102,-6.55497782769795
29,90,104,-6.34554119328324
29,90,106,-7.18410387699322
29,90,108,-9.39610618607665
29,90,110,-13.3050110199934
29,90,112,-16.825731492509
29,90,114,-13.9931455650733
29,90,116,-11.0458916052101
29,90,118,-10.2630230880682
29,90,120,-11.9744582812858
29,90,122,-15.8553058157234
29,90,124,-14.7863466449771
29,90,126,-11.947348930761
29,90,128,-10.7873753976056
29,90,130,-9.44198648123954
29,90,132,-9.27062365422022
29,90,134,-14.76925114329
29,90,136,-15.8546719880132
29,90,138,-5.22960795609194
29,90,140,-2.23077853299175
29,90,142,-2.83206007515327
29,90,144,-6.13397630309834
29,90,146,-6.96675956469767
29,90,148,-4.48485268703966
29,90,150,-3.8756796745541
29,90,152,-5.32293546673132
29,90,154,-7.61805666130471
29,90,156,-6.00052750473378
29,90,158,-3.68148019385559
29,90,160,-4.32968399526764
29,90,162,-9.22470411349642
29,90,164,-10.1684218654074
29,90,166,-4.68886266646241
29,90,168,-5.10667025612828
29,90,170,-16.575225943455
29,90,172,-9.046693017864
29,90,174,-8.60886454980292
29,90,176,-8.5928922728125
29,90,178,2.27029831744527
29,90,180,5.06461287774468
