"d [mm]","dw [mm]","w [mm]","w_inset [mm]","Freq [GHz]","db(S11) []"
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,28.6,-6.59099882246149
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,28.8,-5.2651809363206
0.338918815438405,0.887048628164362,3.44823598865984,0.316475050395162,29,-4.29461799591183
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,27,-7.31857699251877
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,27.2,-9.47636602431352
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,27.4,-12.7914546052908
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,27.6,-18.531401301496
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,27.8,-23.5006573675283
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,28,-15.8063111463477
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,28.2,-11.2128696217254
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,28.4,-8.40830431236759
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,28.6,-6.5259809442423
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,28.8,-5.1967940603009
0.34457731382367,0.887048628164362,3.44823598865984,0.310352934770653,29,-4.22827126244352
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,27,-7.55260450922526
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,27.2,-9.80495807164317
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,27.4,-13.2832198704691
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,27.6,-19.2405601608146
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,27.8,-22.0415446405725
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,28,-15.0106924571892
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,28.2,-10.7909191802298
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,28.4,-8.15036901340387
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,28.6,-6.35833985746411
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,28.8,-5.08504043943082
0.338918815438405,0.902101130092979,3.44823598865984,0.310352934770653,29,-4.15326565513109
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,27,-7.82127920566101
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,27.2,-10.250939916315
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,27.4,-14.1255185036427
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,27.6,-21.4085011431717
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,27.8,-22.0116086662624
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,28,-14.3852123613991
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,28.2,-10.3521163587809
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,28.4,-7.83734028029085
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,28.6,-6.12719641871978
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,28.8,-4.90928075857499
0.338918815438405,0.887048628164362,3.50388948783986,0.310352934770653,29,-4.01601917568885
